category,related,count
Autos & Vehicles,Autos & Vehicles,34836
Autos & Vehicles,Comedy,827
Autos & Vehicles,Entertainment,1809
Autos & Vehicles,Film & Animation,757
Autos & Vehicles,Gadgets & Games,908
Autos & Vehicles,Howto & DIY,272
Autos & Vehicles,Music,954
Autos & Vehicles,News & Politics,262
Autos & Vehicles,People & Blogs,508
Autos & Vehicles,Pets & Animals,55
Autos & Vehicles,Sports,1965
Autos & Vehicles,Travel & Places,583
Comedy,Autos & Vehicles,1071
Comedy,Comedy,66057
Comedy,Entertainment,18354
Comedy,Film & Animation,4764
Comedy,Gadgets & Games,2848
Comedy,Howto & DIY,1260
Comedy,Music,12337
Comedy,News & Politics,3019
Comedy,People & Blogs,7943
Comedy,Pets & Animals,1435
Comedy,Sports,4597
Comedy,Travel & Places,1052
Entertainment,Autos & Vehicles,1989
Entertainment,Comedy,16229
Entertainment,Entertainment,131342
Entertainment,Film & Animation,11954
Entertainment,Gadgets & Games,5299
Entertainment,Howto & DIY,2707
Entertainment,Music,23372
Entertainment,News & Politics,3853
Entertainment,People & Blogs,9311
Entertainment,Pets & Animals,1100
Entertainment,Sports,8193
Entertainment,Travel & Places,2554
Film & Animation,Autos & Vehicles,737
Film & Animation,Comedy,4159
Film & Animation,Entertainment,11253
Film & Animation,Film & Animation,64123
Film & Animation,Gadgets & Games,2801
Film & Animation,Howto & DIY,1059
Film & Animation,Music,6948
Film & Animation,News & Politics,887
Film & Animation,People & Blogs,2047
Film & Animation,Pets & Animals,279
Film & Animation,Sports,1376
Film & Animation,Travel & Places,577
Gadgets & Games,Autos & Vehicles,693
Gadgets & Games,Comedy,1789
Gadgets & Games,Entertainment,4788
Gadgets & Games,Film & Animation,2197
Gadgets & Games,Gadgets & Games,75224
Gadgets & Games,Howto & DIY,661
Gadgets & Games,Music,2759
Gadgets & Games,News & Politics,393
Gadgets & Games,People & Blogs,850
Gadgets & Games,Pets & Animals,241
Gadgets & Games,Sports,1789
Gadgets & Games,Travel & Places,268
Howto & DIY,Autos & Vehicles,374
Howto & DIY,Comedy,1189
Howto & DIY,Entertainment,2516
Howto & DIY,Film & Animation,947
Howto & DIY,Gadgets & Games,645
Howto & DIY,Howto & DIY,11706
Howto & DIY,Music,1235
Howto & DIY,News & Politics,1169
Howto & DIY,People & Blogs,1206
Howto & DIY,Pets & Animals,161
Howto & DIY,Sports,440
Howto & DIY,Travel & Places,397
Music,Autos & Vehicles,950
Music,Comedy,9256
Music,Entertainment,22993
Music,Film & Animation,7369
Music,Gadgets & Games,3312
Music,Howto & DIY,1133
Music,Music,208929
Music,News & Politics,1976
Music,People & Blogs,7152
Music,Pets & Animals,567
Music,Sports,3340
Music,Travel & Places,1415
News & Politics,Autos & Vehicles,318
News & Politics,Comedy,3256
News & Politics,Entertainment,4603
News & Politics,Film & Animation,1075
News & Politics,Gadgets & Games,616
News & Politics,Howto & DIY,1365
News & Politics,Music,2733
News & Politics,News & Politics,32138
News & Politics,People & Blogs,5901
News & Politics,Pets & Animals,247
News & Politics,Sports,1321
News & Politics,Travel & Places,611
People & Blogs,Autos & Vehicles,756
People & Blogs,Comedy,7701
People & Blogs,Entertainment,10990
People & Blogs,Film & Animation,2367
People & Blogs,Gadgets & Games,1102
People & Blogs,Howto & DIY,1342
People & Blogs,Music,9393
People & Blogs,News & Politics,5874
People & Blogs,People & Blogs,45944
People & Blogs,Pets & Animals,507
People & Blogs,Sports,3213
People & Blogs,Travel & Places,1393
Pets & Animals,Autos & Vehicles,54
Pets & Animals,Comedy,1381
Pets & Animals,Entertainment,1014
Pets & Animals,Film & Animation,463
Pets & Animals,Gadgets & Games,212
Pets & Animals,Howto & DIY,124
Pets & Animals,Music,849
Pets & Animals,News & Politics,298
Pets & Animals,People & Blogs,406
Pets & Animals,Pets & Animals,8757
Pets & Animals,Sports,309
Pets & Animals,Travel & Places,198
Sports,Autos & Vehicles,2031
Sports,Comedy,3689
Sports,Entertainment,7526
Sports,Film & Animation,1222
Sports,Gadgets & Games,1868
Sports,Howto & DIY,476
Sports,Music,3637
Sports,News & Politics,1218
Sports,People & Blogs,2877
Sports,Pets & Animals,281
Sports,Sports,129478
Sports,Travel & Places,643
Travel & Places,Autos & Vehicles,675
Travel & Places,Comedy,950
Travel & Places,Entertainment,2274
Travel & Places,Film & Animation,566
Travel & Places,Gadgets & Games,305
Travel & Places,Howto & DIY,357
Travel & Places,Music,1723
Travel & Places,News & Politics,536
Travel & Places,People & Blogs,1351
Travel & Places,Pets & Animals,177
Travel & Places,Sports,1063
Travel & Places,Travel & Places,10945
