category,related,count
Autos & Vehicles,Autos & Vehicles,16971
Autos & Vehicles,Comedy,556
Autos & Vehicles,Entertainment,986
Autos & Vehicles,Film & Animation,219
Autos & Vehicles,Gadgets & Games,432
Autos & Vehicles,Howto & DIY,433
Autos & Vehicles,Music,520
Autos & Vehicles,News & Politics,269
Autos & Vehicles,People & Blogs,272
Autos & Vehicles,Pets & Animals,32
Autos & Vehicles,Sports,663
Autos & Vehicles,Travel & Places,286
Comedy,Autos & Vehicles,853
Comedy,Comedy,45454
Comedy,Entertainment,10013
Comedy,Film & Animation,3109
Comedy,Gadgets & Games,1858
Comedy,Howto & DIY,659
Comedy,Music,7358
Comedy,News & Politics,1416
Comedy,People & Blogs,4310
Comedy,Pets & Animals,674
Comedy,Sports,2159
Comedy,Travel & Places,543
Entertainment,Autos & Vehicles,1085
Entertainment,Comedy,9182
Entertainment,Entertainment,76831
Entertainment,Film & Animation,6459
Entertainment,Gadgets & Games,4458
Entertainment,Howto & DIY,1090
Entertainment,Music,16407
Entertainment,News & Politics,1978
Entertainment,People & Blogs,5573
Entertainment,Pets & Animals,542
Entertainment,Sports,2800
Entertainment,Travel & Places,973
Film & Animation,Autos & Vehicles,190
Film & Animation,Comedy,2591
Film & Animation,Entertainment,6532
Film & Animation,Film & Animation,32011
Film & Animation,Gadgets & Games,3088
Film & Animation,Howto & DIY,504
Film & Animation,Music,4357
Film & Animation,News & Politics,463
Film & Animation,People & Blogs,1152
Film & Animation,Pets & Animals,216
Film & Animation,Sports,440
Film & Animation,Travel & Places,284
Gadgets & Games,Autos & Vehicles,222
Gadgets & Games,Comedy,1240
Gadgets & Games,Entertainment,3710
Gadgets & Games,Film & Animation,2373
Gadgets & Games,Gadgets & Games,51699
Gadgets & Games,Howto & DIY,403
Gadgets & Games,Music,1994
Gadgets & Games,News & Politics,123
Gadgets & Games,People & Blogs,504
Gadgets & Games,Pets & Animals,56
Gadgets & Games,Sports,812
Gadgets & Games,Travel & Places,107
Howto & DIY,Autos & Vehicles,474
Howto & DIY,Comedy,666
Howto & DIY,Entertainment,1212
Howto & DIY,Film & Animation,594
Howto & DIY,Gadgets & Games,423
Howto & DIY,Howto & DIY,6762
Howto & DIY,Music,656
Howto & DIY,News & Politics,667
Howto & DIY,People & Blogs,960
Howto & DIY,Pets & Animals,105
Howto & DIY,Sports,213
Howto & DIY,Travel & Places,222
Music,Autos & Vehicles,485
Music,Comedy,5540
Music,Entertainment,16056
Music,Film & Animation,4989
Music,Gadgets & Games,2570
Music,Howto & DIY,590
Music,Music,144905
Music,News & Politics,1189
Music,People & Blogs,4264
Music,Pets & Animals,387
Music,Sports,1514
Music,Travel & Places,1024
News & Politics,Autos & Vehicles,199
News & Politics,Comedy,1497
News & Politics,Entertainment,2144
News & Politics,Film & Animation,532
News & Politics,Gadgets & Games,268
News & Politics,Howto & DIY,708
News & Politics,Music,1477
News & Politics,News & Politics,19469
News & Politics,People & Blogs,2560
News & Politics,Pets & Animals,130
News & Politics,Sports,445
News & Politics,Travel & Places,407
People & Blogs,Autos & Vehicles,451
People & Blogs,Comedy,4782
People & Blogs,Entertainment,6610
People & Blogs,Film & Animation,1461
People & Blogs,Gadgets & Games,687
People & Blogs,Howto & DIY,990
People & Blogs,Music,5430
People & Blogs,News & Politics,2798
People & Blogs,People & Blogs,25465
People & Blogs,Pets & Animals,322
People & Blogs,Sports,1264
People & Blogs,Travel & Places,1074
Pets & Animals,Autos & Vehicles,88
Pets & Animals,Comedy,605
Pets & Animals,Entertainment,614
Pets & Animals,Film & Animation,214
Pets & Animals,Gadgets & Games,97
Pets & Animals,Howto & DIY,113
Pets & Animals,Music,544
Pets & Animals,News & Politics,108
Pets & Animals,People & Blogs,237
Pets & Animals,Pets & Animals,7107
Pets & Animals,Sports,461
Pets & Animals,Travel & Places,373
Sports,Autos & Vehicles,844
Sports,Comedy,1901
Sports,Entertainment,2800
Sports,Film & Animation,441
Sports,Gadgets & Games,929
Sports,Howto & DIY,182
Sports,Music,1656
Sports,News & Politics,392
Sports,People & Blogs,1074
Sports,Pets & Animals,335
Sports,Sports,33702
Sports,Travel & Places,409
Travel & Places,Autos & Vehicles,327
Travel & Places,Comedy,476
Travel & Places,Entertainment,1079
Travel & Places,Film & Animation,266
Travel & Places,Gadgets & Games,137
Travel & Places,Howto & DIY,169
Travel & Places,Music,1105
Travel & Places,News & Politics,342
Travel & Places,People & Blogs,964
Travel & Places,Pets & Animals,311
Travel & Places,Sports,424
Travel & Places,Travel & Places,8938
