related_comments,comments,views,related_views
76,3899,1556837,23403
14,3899,1556837,1467
6,3899,1556837,1038
15,3899,1556837,5290
17,3899,1556837,2072
0,3899,1556837,1336
1,3899,1556837,260
47,3899,1556837,11270
7,3899,1556837,87
1,3899,1556837,231
4,3899,1556837,1035
4,3899,1556837,1248
16,3899,1556837,3777
15,3899,1556837,288
0,3899,1556837,297
0,3899,1556837,1118
60,3899,1556837,38383
0,30,224066,356
0,30,224066,251
21,30,224066,854
0,30,224066,63
0,30,224066,3887
0,30,224066,1452
0,30,224066,62
3,30,224066,2869
1,30,224066,217
0,30,224066,191
0,30,224066,220
0,30,224066,138
0,30,224066,746
0,30,224066,247
29,30,224066,7079
3,30,224066,907
24,874,161916,4148
3,874,161916,318
15,874,161916,1324
26,874,161916,4273
10,874,161916,1549
29,874,161916,2194
2,874,161916,187
35,874,161916,1552
70,874,161916,3248
0,874,161916,247
1,874,161916,536
19,874,161916,1139
0,874,161916,1118
0,874,161916,1164
7,874,161916,425
0,874,161916,962
10,57,128179,6421
1,57,128179,1418
0,57,128179,264
1,57,128179,385
0,57,128179,89
0,57,128179,89
0,57,128179,988
0,57,128179,43
2,57,128179,1482
0,57,128179,3416
714,57,128179,293328
14,57,128179,9113
0,57,128179,1029
16,57,128179,3809
43,57,128179,9013
1,57,128179,2530
8,57,128179,2132
4,57,128179,1852
5,123,81667,1642
0,123,81667,166
58,123,81667,38485
1,123,81667,1887
24,123,81667,170030
19,123,81667,33912
40,123,81667,16278
61,61,73467,73467
170,61,73467,224801
4,180,61685,431
2,180,61685,200
0,180,61685,88
150,150,60082,60082
2,45,54612,316
12,45,54612,6111
0,45,54612,1310
1,45,54612,5885
2,45,54612,988
4,45,54612,440
0,45,54612,592
1,45,54612,1698
2,45,54612,242
1,45,54612,316
7,418,52959,2026
13,418,52959,1456
8,418,52959,444
20,418,52959,420
10,418,52959,346
2,98,52480,381
0,98,52480,3261
30,98,52480,25477
15,98,52480,69944
13,98,52480,13989
2,98,52480,4966
3,98,52480,4608
8,98,52480,11834
1,98,52480,4406
8,98,52480,29621
3,98,52480,5852
2,98,52480,4519
30,98,52480,6433
4,98,52480,3943
0,92,51964,5
0,92,51964,9
0,92,51964,15
13,92,51964,1057
2,92,51964,392
8,92,51964,1821
2,65,50007,437
2,65,50007,960
4,65,50007,1661
6,65,50007,5295
6,65,50007,4577
29,65,50007,15575
5,65,50007,1171
3,65,50007,690
0,65,50007,932
2,65,50007,3214
3,65,50007,1862
0,65,50007,1110
1,65,50007,145
0,65,50007,292
4,65,50007,4090
2,65,50007,541
2,65,50007,669
10,65,50007,3356
9,17,41456,10302
3,17,41456,4670
19,17,41456,35239
5,17,41456,11918
12,17,41456,19537
13,17,41456,7620
12,17,41456,15267
7,17,41456,5492
6,17,41456,4151
0,17,41456,6042
16,17,41456,6806
4,17,41456,2663
3,17,41456,9469
4,17,41456,5866
0,17,41456,4302
0,17,41456,2255
3,17,41456,1251
3,929,38212,295
3,929,38212,212
4,929,38212,968
1,929,38212,1759
3,929,38212,1424
0,929,38212,1259
265,929,38212,305238
22,130,33175,16908
103,130,33175,71374
42,130,33175,23758
22,130,33175,28363
15,130,33175,1739
0,130,33175,1119
5,130,33175,3157
4,130,33175,1354
4,130,33175,331
4,130,33175,44
9,130,33175,5311
16,130,33175,11161
1055,398,32717,95628
247,398,32717,26772
176,398,32717,24118
331,398,32717,21540
197,398,32717,19723
363,398,32717,20462
59,398,32717,6155
0,398,32717,469
0,398,32717,351
0,398,32717,425
4,398,32717,574
1,398,32717,333
2,398,32717,380
2,398,32717,437
15,398,32717,801
13,398,32717,1134
8,398,32717,942
1,398,32717,458
1,398,32717,165
4,398,32717,226
33,9,31294,20437
8,9,31294,7324
0,9,31294,478
4,9,31294,30750
8,9,31294,9459
7,9,31294,7016
11,9,31294,4404
30,9,31294,10004
17,9,31294,15253
3,9,31294,8663
96,9,31294,69581
5,9,31294,4921
22,9,31294,7657
5,9,31294,3845
2,9,31294,4047
20,77,30632,25786
10,77,30632,7033
42,77,30632,39610
25,77,30632,22181
106,77,30632,54471
2862,86,30555,13881
27,86,30555,4627
133,86,30555,6233
30,86,30555,6353
37,86,30555,2784
32,86,30555,3110
13,86,30555,1398
11,86,30555,1905
133,86,30555,647
3,86,30555,741
35,86,30555,1443
16,86,30555,933
3,86,30555,182
14,86,30555,826
3,86,30555,405
5,86,30555,203
0,86,30555,48
9,86,30555,2113
60,44,27090,21455
10,44,27090,9944
25,44,27090,12715
13,44,27090,9188
35,44,27090,3583
12,44,27090,3361
0,13,27042,237
6,13,27042,497
52,13,27042,59159
26,13,27042,47016
3,7,26388,417
52,45,26159,14132
0,45,26159,260
1,45,26159,224
2,45,26159,475
1,45,26159,582
0,45,26159,197
2,45,26159,274
0,45,26159,113
6,45,26159,1020
1,45,26159,337
4,45,26159,136
0,45,26159,157
1,45,26159,466
3,45,26159,556
0,45,26159,115
7,36,24727,7648
6,36,24727,1187
4,36,24727,659
1,36,24727,1088
1,36,24727,662
0,36,24727,646
0,36,24727,736
0,36,24727,1079
3,36,24727,791
0,36,24727,195
1,36,24727,803
0,36,24727,192
0,36,24727,221
0,36,24727,120
0,36,24727,24
0,36,24727,283
0,36,24727,236
0,36,24727,70
44,56,24501,19506
40,56,24501,21189
56,56,24501,24501
84,56,24501,14699
169,56,24501,103854
216,56,24501,118818
62,56,24501,76942
116,56,24501,96993
124,56,24501,120964
98,56,24501,110717
64,56,24501,101008
146,56,24501,85198
43,56,24501,59815
43,56,24501,43929
0,42,24337,1164
0,42,24337,1118
0,42,24337,962
157,42,24337,106701
12,42,24337,7067
8,42,24337,1055
12,42,24337,4422
39,42,24337,9729
0,34,24227,53
58,34,24227,1914
0,34,24227,30
6,34,24227,1671
4,34,24227,1186
22,34,24227,4598
23,34,24227,3416
9,34,24227,2377
0,34,24227,56
92,34,24227,8146
8,34,24227,1351
10,34,24227,2822
1055,176,24118,95628
331,176,24118,21540
398,176,24118,32717
363,176,24118,20462
247,176,24118,26772
197,176,24118,19723
59,176,24118,6155
4,176,24118,574
1,176,24118,333
0,176,24118,351
2,176,24118,437
2,176,24118,380
0,176,24118,469
15,176,24118,801
13,176,24118,1134
8,176,24118,942
1,176,24118,458
0,176,24118,218
1,176,24118,1195
3899,76,23403,1556837
47,76,23403,11270
6,76,23403,1038
14,76,23403,1467
15,76,23403,5290
17,76,23403,2072
1,76,23403,231
1,76,23403,260
0,76,23403,1336
4,76,23403,1035
7,76,23403,87
4,76,23403,1248
15,76,23403,288
16,76,23403,3777
